team_id_master,team,state,gender,age_group,component_id,component_size,degree
7a0bbd3adfa8,Gavilanes 2015,CA,M,U11,0,23630,32
8996d24dab67,BSC 2015 Boys Blue,PA,M,U11,0,23630,19
2d10efd21200,Davis Legacy 15B Black,CA,M,U11,0,23630,31
25a97e830c70,Javanon 2015 Boys Red,KY,M,U11,0,23630,21
dc9d57e1bf1b,ESJFC 15B White,CA,M,U11,0,23630,38
3716385f8575,MT SURF B2015 White,MT,M,U11,0,23630,18
30f48cf24cef,Lamorinda United 2015B Pre-MLS,CA,M,U11,0,23630,34
9f2903b3e991,BUSC 2015 Elite 3,CA,M,U11,0,23630,27
6311b0d0b9af,SLSG MO B 2015 Premier Silver,MO,M,U11,0,23630,16
64608245620c,Tornados,NY,M,U11,0,23630,20
e5f6060d1127,Real POB,NY,M,U11,0,23630,27
fea3275df2cf,2015 Rush Blue Boys,PA,M,U11,0,23630,33
9ba9f1879b3c,NINJA West Little Lion,CA,M,U11,0,23630,25
eca59a5594c6,Cap City 2015 Boys Blue,MI,M,U11,0,23630,17
c378bf9bff2b,2015 Rush Boys,AZ,M,U11,0,23630,22
99a490e100da,MVLA 15B Liverpool Black,CA,M,U11,0,23630,26
b4e0f7040b26,B15 Acuna,CA,M,U11,0,23630,23
bea0ff49ac32,2015 Boys Academy,CA,M,U11,0,23630,20
6016373b1208,BUSC 2015 Elite 1,CA,M,U11,0,23630,26
f7f40e707b53,B15 Blue - Velez / O'Sullivan,CA,M,U11,0,23630,20
b2e6b4b06788,WP Academy National 2015,NY,M,U11,0,23630,25
ce3080c2a483,B2015 Wolverines,NY,M,U11,0,23630,22
6214337ab27b,S.S.A15B Black,TX,M,U11,0,23630,38
eef6ebe3a8d0,BSC 15B Smith,KY,M,U11,0,23630,22
c2995ce464d2,CVSA 2015 Boys Blue,OH,M,U11,0,23630,29
377843f9bb4f,Kingdom SC 2015B Red,MI,M,U11,0,23630,17
a11ada3ec0da,15B EA,CA,M,U11,0,23630,24
e6e4233101fa,SD Surf Academy Boys 2015 (Penate),CA,M,U11,0,23630,29
b31d4f589488,Breakers 15B Purple,CA,M,U11,0,23630,25
6deedf6508ee,Burlingame SC 2015B Orange,CA,M,U11,0,23630,23
7f8fb6d10486,Stockton Storm FC 2015 Boys Blue,CA,M,U11,0,23630,21
e79be6f29280,Aston Villa Orange,NJ,M,U11,0,23630,20
bb1c006e00a3,Empire SC B2015,CA,M,U11,0,23630,27
5b45febd71eb,West 2015 Boys White,MA,M,U11,0,23630,24
4f4c9a81cd75,WLUSC 2015 Boys Nolan -Warriors Gold,PA,M,U11,0,23630,18
37b423d1cec3,Burlingame SC 2015B Gray,CA,M,U11,0,23630,27
b51e863844aa,Stanford Strikers 15B Red,CA,M,U11,0,23630,33
8cb4cc6ac3f5,IdeaSport 2015 Pre MLS 2,FL,M,U11,0,23630,18
f72df7cbc1dc,Royal Oak FC 2015 Boys Green,MI,M,U11,0,23630,19
71429b3f60fc,PRFC Scottsdale 15B Copa,AZ,M,U11,0,23630,20
a1e0e84fae2b,North Shore 2015B Navy,MA,M,U11,0,23630,20
56f28645c444,Kolping SC B15 Orange,OH,M,U11,0,23630,18
a1226222791e,FCA 15B White,CA,M,U11,0,23630,25
fcbbc462a9c5,EM B15 preECNL-RL,NY,M,U11,0,23630,27
a5e5fb72edf1,Linden S.C Tiger Cubs 2015B,NJ,M,U11,0,23630,18
fe9d521ebbcb,Chaos,NY,M,U11,0,23630,16
028560e12923,Alameda SC Islanders 15B Red,CA,M,U11,0,23630,32
91d116f90f39,Almaden FC Mercury B15 Black,CA,M,U11,0,23630,20
2bdbfe9ab397,Columbus Force 15B Blue,OH,M,U11,0,23630,23
d430bddc5dfc,Dallas Texans 2015 Boys Black Dallas,TX,M,U11,0,23630,39
67d8b4c2a49a,2015 Thunder FC Premier,ID,M,U11,0,23630,18
86cdcd8fbd86,WESCO 15B Blue - Wildcats,CA,M,U11,0,23630,19
7f93bdb9ef69,South Valley United B15 White,CA,M,U11,0,23630,35
ea22462c561c,B2015 Red,NY,M,U11,0,23630,17
3fb45c85a363,Strikers FC Ba EA,CA,M,U11,0,23630,21
0d4be807f648,FPFC 15B TRY REGIONAL,FL,M,U11,0,23630,29
ddb8485ce37a,MPSA CRUSH 2015 VAB,MI,M,U11,0,23630,12
fbe94be2c530,Mercury B2015 west 1,OH,M,U11,0,23630,17
0de50bfbb501,West Coast Tsunami '15,CA,M,U11,0,23630,40
b2de1631c706,B15,PA,M,U11,0,23630,28
a90a7d08f46a,Stallions,NY,M,U11,0,23630,24
b54ca13ea30b,Natomas FA 15B Academy,CA,M,U11,0,23630,26
f1dc15dee018,15B Elite,PA,M,U11,0,23630,21
809487075d41,Force 15B Elite II,CA,M,U11,0,23630,40
176c40bb2588,FPFC 15B WC REGIONAL,FL,M,U11,0,23630,28
6bc48a813e0d,NINJA West Jrs.,CA,M,U11,0,23630,16
1a46972cb7ea,TBU 2015B Pre MLS Next South,FL,M,U11,0,23630,27
cde2bf12486a,TAG 15B Gold,TX,M,U11,0,23630,21
69390d3773e3,CCSC Boys 2015 Bulldogs Blue,MD,M,U11,0,23630,22
416eb991066a,Indy Eleven 2015B IDP,IN,M,U11,0,23630,22
bf6365cd76aa,SEVERNA PARK 15B - WHITE,MD,M,U11,0,23630,20
a91958aa0e43,15B Blue,CA,M,U11,0,23630,25
9556b514374d,B15 Black - EC,CA,M,U11,0,23630,32
20e0e9460e1f,Ambassadors FC 2015 Boys,OH,M,U11,0,23630,28
3073d867dee3,ALBION SC Merced B15 Pre-MLS NEXT,CA,M,U11,0,23630,42
b1819e928d4b,TFA-SD B2015 Navy,CA,M,U11,0,23630,17
cfcec514095e,Raiders FC 2015B,MA,M,U11,0,23630,20
721f277138f1,Davis Legacy 15B Red,CA,M,U11,0,23630,24
8fa35298f14f,Celtic 1888 B15,CA,M,U11,0,23630,25
645c2b91c3a9,LCPFC 15B ELITE,FL,M,U11,0,23630,26
9a32b27166b3,West 2015 Boys Pre-MLS Blue,MA,M,U11,0,23630,23
4bb8c12e0c4c,Mustang SC 15B Elite I,CA,M,U11,0,23630,30
3dfdb14be4d1,FC LEGENDS UTD 15B Black,TX,M,U11,0,23630,23
137dbe19f24b,B15 WHITE - CK,CA,M,U11,0,23630,30
6c6e128f0d52,2015 Boys Milan,PA,M,U11,0,23630,14
7794bf4d5809,Southern Lehigh U11 Boys Bliue - Ochs/Arnold/Yaeger,PA,M,U11,0,23630,22
fe847e986a83,Mustang SC 15B Elite II,CA,M,U11,0,23630,30
92613a1c3d2e,SANTA CRUZ SHARKS 15 WHITE,CA,M,U11,0,23630,23
78e4289fda37,Detroit City FC North 15B Rouge,MI,M,U11,0,23630,18
a7bc6aada382,FC Columbus Brazil 2015 Boys,OH,M,U11,0,23630,20
